,symbol,open,high,low,close,volume
2019-10-13 16:00:00,BTC/USDT,8256.89,8258.32,8221.68,8248.31,914.9996649999999
2019-10-13 17:00:00,BTC/USDT,8248.6,8295.0,8243.65,8282.4,990.4023000000002
2019-10-13 18:00:00,BTC/USDT,8282.48,8312.54,8270.0,8275.01,837.5758410000002
2019-10-13 19:00:00,BTC/USDT,8275.24,8277.0,8241.9,8273.06,757.6840540000004
2019-10-13 20:00:00,BTC/USDT,8274.15,8295.0,8268.0,8286.91,729.429974
2019-10-13 21:00:00,BTC/USDT,8287.69,8309.0,8280.01,8286.66,811.6245590000001
2019-10-13 22:00:00,BTC/USDT,8286.66,8308.29,8282.66,8289.03,653.0303179999999
2019-10-13 23:00:00,BTC/USDT,8289.01,8291.27,8280.0,8280.0,528.4501929999999
2019-10-14 00:00:00,BTC/USDT,8280.0,8326.83,8271.0,8311.32,1745.4753770000002
2019-10-14 01:00:00,BTC/USDT,8311.31,8333.42,8297.19,8319.35,1066.1526739999997
2019-10-14 02:00:00,BTC/USDT,8319.35,8320.0,8280.44,8305.76,1646.02701
2019-10-14 03:00:00,BTC/USDT,8305.76,8320.07,8294.08,8308.18,1596.306089
2019-10-14 04:00:00,BTC/USDT,8308.56,8325.62,8287.01,8299.99,1138.552735
2019-10-14 05:00:00,BTC/USDT,8299.98,8316.01,8289.79,8307.06,1059.6216439999996
2019-10-14 06:00:00,BTC/USDT,8307.03,8307.4,8277.0,8280.32,901.5686350000003
2019-10-14 07:00:00,BTC/USDT,8280.08,8284.02,8242.22,8256.0,1791.4689040000003
2019-10-14 08:00:00,BTC/USDT,8256.03,8290.0,8250.0,8286.73,924.4126030000001
2019-10-14 09:00:00,BTC/USDT,8286.73,8291.47,8260.16,8262.09,693.3753310000002
2019-10-14 10:00:00,BTC/USDT,8263.72,8276.33,8247.02,8251.94,1160.0325250000003
2019-10-14 11:00:00,BTC/USDT,8254.05,8388.85,8203.0,8332.83,4001.693106
2019-10-14 12:00:00,BTC/USDT,8331.11,8355.0,8320.01,8326.97,1972.595467
2019-10-14 13:00:00,BTC/USDT,8325.68,8356.18,8325.0,8354.42,1052.3602620000001
2019-10-14 14:00:00,BTC/USDT,8354.84,8377.0,8319.97,8327.96,1128.5434509999998
2019-10-14 15:00:00,BTC/USDT,8327.96,8344.5,8320.0,8338.14,593.6927720000001
2019-10-14 16:00:00,BTC/USDT,8338.14,8350.0,8251.89,8305.0,1809.360102
2019-10-14 17:00:00,BTC/USDT,8305.44,8349.95,8299.32,8337.66,1142.6706250000002
2019-10-14 18:00:00,BTC/USDT,8338.17,8349.49,8328.63,8348.2,906.5348429999998
2019-10-14 19:00:00,BTC/USDT,8346.86,8403.0,8346.8,8356.4,3077.6203720000008
2019-10-14 20:00:00,BTC/USDT,8353.93,8364.77,8323.87,8328.29,1001.042326
2019-10-14 21:00:00,BTC/USDT,8328.27,8336.48,8311.77,8332.68,646.8262060000001
2019-10-14 22:00:00,BTC/USDT,8332.97,8333.67,8311.11,8315.19,631.252383
2019-10-14 23:00:00,BTC/USDT,8316.26,8332.47,8302.25,8326.78,814.5110790000002
2019-10-15 00:00:00,BTC/USDT,8326.78,8332.9,8313.48,8326.87,529.131112
2019-10-15 01:00:00,BTC/USDT,8326.45,8340.84,8286.25,8303.05,1894.1819710000002
2019-10-15 02:00:00,BTC/USDT,8302.36,8315.1,8266.61,8281.04,1286.083338
2019-10-15 03:00:00,BTC/USDT,8280.72,8299.0,8258.4,8280.76,1620.8439429999996
2019-10-15 04:00:00,BTC/USDT,8280.76,8290.12,8270.15,8277.29,919.7088890000001
2019-10-15 05:00:00,BTC/USDT,8276.77,8321.64,8272.06,8310.94,1149.6163480000002
2019-10-15 06:00:00,BTC/USDT,8310.94,8313.56,8280.0,8295.85,965.5178570000002
2019-10-15 07:00:00,BTC/USDT,8295.87,8323.23,8285.06,8316.55,1212.9866619999996
2019-10-15 08:00:00,BTC/USDT,8316.55,8319.99,8286.91,8299.16,887.061943
2019-10-15 09:00:00,BTC/USDT,8299.77,8314.53,8240.0,8260.44,1624.2347300000004
2019-10-15 10:00:00,BTC/USDT,8260.28,8360.0,8235.21,8316.94,2378.51132
2019-10-15 11:00:00,BTC/USDT,8318.32,8323.8,8090.0,8186.13,5466.486749999999
2019-10-15 12:00:00,BTC/USDT,8186.13,8201.7,8156.6,8168.16,1377.477653
2019-10-15 13:00:00,BTC/USDT,8168.0,8179.19,8146.0,8172.54,1135.9411940000002
2019-10-15 14:00:00,BTC/USDT,8173.02,8178.54,8127.47,8177.59,1025.9139309999998
2019-10-15 15:00:00,BTC/USDT,8177.1,8177.47,8135.99,8138.25,642.713821
2019-10-15 16:00:00,BTC/USDT,8138.25,8159.0,8124.87,8157.99,840.2142010000003
2019-10-15 17:00:00,BTC/USDT,8157.99,8159.0,8138.0,8138.0,615.0513669999998
2019-10-15 18:00:00,BTC/USDT,8136.83,8182.77,8133.76,8159.29,1030.1330799999998
2019-10-15 19:00:00,BTC/USDT,8159.3,8171.53,8144.35,8167.25,1074.7025979999999
2019-10-15 20:00:00,BTC/USDT,8167.25,8181.16,8158.01,8170.54,866.8434480000003
2019-10-15 21:00:00,BTC/USDT,8170.56,8180.26,8155.27,8159.13,894.4495660000002
2019-10-15 22:00:00,BTC/USDT,8158.75,8168.74,8145.5,8167.51,892.2980920000005
2019-10-15 23:00:00,BTC/USDT,8166.57,8176.69,8157.43,8162.38,895.631573
2019-10-16 00:00:00,BTC/USDT,8162.39,8174.0,8158.24,8170.9,665.5050180000001
2019-10-16 01:00:00,BTC/USDT,8172.36,8177.27,8150.0,8151.02,863.618336
2019-10-16 02:00:00,BTC/USDT,8151.02,8166.27,8120.0,8134.93,1427.4225909999996
2019-10-16 03:00:00,BTC/USDT,8134.89,8145.13,8100.0,8134.97,1763.8074820000006
2019-10-16 04:00:00,BTC/USDT,8135.0,8153.0,8100.0,8147.34,1655.513835
2019-10-16 05:00:00,BTC/USDT,8149.8,8162.0,8131.0,8143.52,1317.588135000001
2019-10-16 06:00:00,BTC/USDT,8143.89,8150.0,8010.0,8056.0,3109.2870650000004
2019-10-16 07:00:00,BTC/USDT,8055.66,8056.0,7923.5,7984.95,5202.473738000001
2019-10-16 08:00:00,BTC/USDT,7985.63,8015.83,7970.96,7998.85,1852.6458249999994
2019-10-16 09:00:00,BTC/USDT,7997.04,7998.73,7944.0,7967.45,1578.7238
2019-10-16 10:00:00,BTC/USDT,7967.45,7989.97,7950.0,7953.15,1644.646318
2019-10-16 11:00:00,BTC/USDT,7953.06,8023.0,7917.0,7970.98,2662.746819
2019-10-16 12:00:00,BTC/USDT,7971.44,7985.0,7947.25,7975.23,1081.0984660000004
2019-10-16 13:00:00,BTC/USDT,7976.85,7980.0,7959.35,7966.25,959.9922959999999
2019-10-16 14:00:00,BTC/USDT,7966.35,7969.48,7930.0,7957.69,1297.8878379999999
2019-10-16 15:00:00,BTC/USDT,7958.16,7989.97,7957.55,7987.06,849.4920049999997
2019-10-16 16:00:00,BTC/USDT,7987.83,7990.0,7974.28,7978.27,484.5734140000002
2019-10-16 17:00:00,BTC/USDT,7978.38,8011.0,7978.0,8002.8,727.532577
2019-10-16 18:00:00,BTC/USDT,8004.61,8023.0,7991.36,7991.74,965.113131
2019-10-16 19:00:00,BTC/USDT,7995.02,7997.4,7952.63,7964.84,1006.543768
2019-10-16 20:00:00,BTC/USDT,7964.35,7974.88,7955.21,7958.8,691.8080420000002
2019-10-16 21:00:00,BTC/USDT,7958.8,7989.86,7956.29,7982.69,681.1762630000001
2019-10-16 22:00:00,BTC/USDT,7983.47,7985.44,7965.0,7968.88,603.4053820000001
2019-10-16 23:00:00,BTC/USDT,7968.71,7974.18,7929.03,7933.37,1062.0896579999999
2019-10-17 00:00:00,BTC/USDT,7933.34,7986.0,7930.0,7976.85,1422.1380860000002
2019-10-17 01:00:00,BTC/USDT,7977.6,7990.0,7954.37,7960.6,1107.9534879999999
2019-10-17 02:00:00,BTC/USDT,7961.46,7989.0,7960.72,7975.28,1004.4856400000001
2019-10-17 03:00:00,BTC/USDT,7974.42,8077.77,7971.8,8047.27,3312.628683
2019-10-17 04:00:00,BTC/USDT,8045.85,8066.28,8016.44,8063.57,1592.0017870000001
2019-10-17 05:00:00,BTC/USDT,8064.85,8099.98,8062.54,8079.5,2171.060807
2019-10-17 06:00:00,BTC/USDT,8080.39,8118.86,8063.59,8067.2,1497.2264460000004
2019-10-17 07:00:00,BTC/USDT,8066.66,8074.93,8016.01,8046.48,2405.7173920000005
2019-10-17 08:00:00,BTC/USDT,8046.55,8078.93,8041.85,8064.2,1268.270726
2019-10-17 09:00:00,BTC/USDT,8064.94,8070.0,8030.49,8052.04,1084.386158
2019-10-17 10:00:00,BTC/USDT,8052.05,8091.6,8045.19,8069.39,1449.860324
2019-10-17 11:00:00,BTC/USDT,8069.69,8124.92,8054.27,8082.26,1905.0282460000003
2019-10-17 12:00:00,BTC/USDT,8080.25,8090.0,8066.66,8082.77,1010.7586170000002
2019-10-17 13:00:00,BTC/USDT,8082.79,8089.0,8070.0,8073.13,700.3075609999999
2019-10-17 14:00:00,BTC/USDT,8073.11,8074.32,8042.03,8059.92,1070.6417430000004
2019-10-17 15:00:00,BTC/USDT,8059.32,8066.9,8032.54,8038.02,738.5053689999999
2019-10-17 16:00:00,BTC/USDT,8038.8,8068.56,8034.81,8061.84,484.2355589999999
2019-10-17 17:00:00,BTC/USDT,8061.11,8071.13,8040.47,8053.78,655.754449
2019-10-17 18:00:00,BTC/USDT,8053.94,8076.73,8044.14,8070.58,730.9649639999999
2019-10-17 19:00:00,BTC/USDT,8070.71,8093.51,8050.0,8080.86,693.8862649999998
2019-10-17 20:00:00,BTC/USDT,8080.63,8109.61,8068.7,8109.6,828.9975750000001
2019-10-17 21:00:00,BTC/USDT,8109.6,8115.0,8069.13,8081.33,951.3095709999999
2019-10-17 22:00:00,BTC/USDT,8081.34,8085.0,8055.05,8064.81,677.0897459999999
2019-10-17 23:00:00,BTC/USDT,8065.65,8072.54,8050.0,8064.24,629.1987260000001
2019-10-18 00:00:00,BTC/USDT,8064.24,8065.0,7856.89,7908.74,4646.811489999998
2019-10-18 01:00:00,BTC/USDT,7908.74,7927.74,7864.77,7917.66,2473.5700669999987
2019-10-18 02:00:00,BTC/USDT,7917.0,7917.43,7889.69,7911.6,1492.7541689999998
2019-10-18 03:00:00,BTC/USDT,7911.59,7911.63,7816.01,7878.0,3167.0389720000003
2019-10-18 04:00:00,BTC/USDT,7877.38,7923.87,7876.55,7909.76,1592.056161
2019-10-18 05:00:00,BTC/USDT,7909.22,7910.0,7880.0,7900.73,1159.1404929999997
2019-10-18 06:00:00,BTC/USDT,7900.4,7942.0,7900.0,7920.42,1063.6008849999998
2019-10-18 07:00:00,BTC/USDT,7920.6,7975.0,7919.19,7920.0,1879.0528110000002
